"2008-09-30","Tamil Nadu","Aircel Limited","274.64"
"2008-09-30","Tamil Nadu","Idea Cellular ","0"
"2008-09-30","Tamil Nadu","Uninor","0"
"2008-09-30","Tamil Nadu ","Vodafone Essar","232.81"
"2008-09-30","Tamilnadu","Videocon Telecommunications","0"
"2008-09-30","TN & Chennai","Bharti Airtel Ltd","512.58"
"2008-09-30","TN& Chennai","Etisalat DB Telecom ","0"
"2008-09-30","U.P(E)","Videocon Telecommunications","0"
"2008-09-30","U.P(W)","Videocon Telecommunications","0"
"2008-09-30","UP (E)","Aircel Limited","0"
"2008-09-30","UP (E)","Bharti Airtel Ltd","273.2"
"2008-09-30","UP (E)","Idea Cellular ","65.775"
"2008-09-30","UP (E)","Uninor","0"
"2008-09-30","UP (East)","Vodafone Essar","309.087"
"2008-09-30","UP (W)","Aircel Limited","0"
"2008-09-30","UP (W)","Uninor","0"
"2008-09-30","UP (W)","Vodafone Essar","186.262"
"2008-09-30","UP(E)","Etisalat DB Telecom ","0"
"2008-09-30","UP(W)","Bharti Airtel Ltd","120.475"
"2008-09-30","UP(W)","Etisalat DB Telecom ","0"
"2008-09-30","UP(West)","Idea Cellular ","199.3"
"2008-09-30","W.B","Videocon Telecommunications","0"
"2008-09-30","WB","Bharti Airtel Ltd","137.425"
"2008-09-30","WB","Dishnet Wireless","11.8375"
"2008-09-30","WB","Idea Cellular ","0"
"2008-09-30","WB","Reliance Telecom","28.3625"
"2008-09-30","WB","Vodafone Essar","188.775"
"2008-09-30","West Bengal","Uninor","0"
"2008-12-31","A.P.","Bharti Airtel Ltd","687.77"
"2008-12-31","AP","Aircel Limited","0"
"2008-12-31","AP","Etisalat DB Telecom ","0"
"2008-12-31","AP","Idea Cellular ","305.15"
"2008-12-31","AP","Uninor","0"
"2008-12-31","AP","Videocon Telecommunications","0"
"2008-12-31","AP","Vodafone Essar","227.27"
"2008-12-31","Assam","Bharti Airtel Ltd","100.738"
"2008-12-31","Assam","Dishnet Wireless","76.9617"
"2008-12-31","Assam","Idea Cellular ","0"
"2008-12-31","Assam","Reliance Telecom","55.8467"
"2008-12-31","Assam","S Tel Pvt. Ltd","0"
"2008-12-31","Assam","Vodafone Essar","2.26667"
"2008-12-31","Bihar","Bharti Airtel Ltd","421.767"
"2008-12-31","Bihar","Dishnet Wireless","26.925"
"2008-12-31","Bihar","Etisalat DB Telecom ","0"
"2008-12-31","Bihar","Idea Cellular ","0"
"2008-12-31","Bihar","Reliance Telecom","75.7983"
"2008-12-31","Bihar","S Tel Pvt. Ltd","0"
"2008-12-31","Bihar","Uninor","0"
"2008-12-31","Bihar","Videocon Telecommunications","0"
"2008-12-31","Bihar","Vodafone Essar","0"
"2008-12-31","Chennai","Aircel Cellular ","106.25"
"2008-12-31","Chennai","Vodafone Essar","109.65"
"2008-12-31","Delhi","Aircel Limited","0"
"2008-12-31","Delhi","Bharti Airtel Ltd","497.17"
"2008-12-31","Delhi","Etisalat DB Telecom ","0"
"2008-12-31","Delhi","Idea Cellular ","157.86"
"2008-12-31","Delhi","Vodafone Essar","369.33"
"2008-12-31","Gujarat","Aircel Limited","0"
"2008-12-31","Gujarat","Bharti Airtel Ltd","227.25"
"2008-12-31","Gujarat","Etisalat DB Telecom ","0"
"2008-12-31","Gujarat","Idea Cellular ","196.28"
"2008-12-31","Gujarat","Uninor","0"
"2008-12-31","Gujarat","Videocon Telecommunications","0"
"2008-12-31","Gujarat","Vodafone Essar","479.89"
"2008-12-31","H.P","Bharti Airtel Ltd","71.75"
"2008-12-31","Haryana","Bharti Airtel Ltd","86.6625"
"2008-12-31","Haryana","Etisalat DB Telecom ","0"
"2008-12-31","Haryana","Idea Cellular ","78.2875"
"2008-12-31","Haryana","Videocon Telecommunications","0"
"2008-12-31","Haryana","Vodafone Essar","96.4875"
"2008-12-31","Himachal Pradesh","Videocon Telecommunications","0"
"2008-12-31","HP","Dishnet Wireless","2.22833"
"2008-12-31","HP","Idea Cellular ","6.375"
"2008-12-31","HP","Reliance Telecom","24.8267"
"2008-12-31","HP","S Tel Pvt. Ltd","0"
"2008-12-31","HP","Vodafone Essar","0"
"2008-12-31","J & K","Bharti Airtel Ltd","142.483"
"2008-12-31","J & K","Dishnet Wireless","29.3"
"2008-12-31","J & K","Vodafone Essar","0"
"2008-12-31","J&K","Idea Cellular ","0"
"2008-12-31","Karnataka","Aircel Limited","0"
"2008-12-31","Karnataka","Bharti Airtel Ltd","751.433"
"2008-12-31","Karnataka","Etisalat DB Telecom ","0"
"2008-12-31","Karnataka","Spice Commns.","97.25"
"2008-12-31","Karnataka","Uninor","0"
"2008-12-31","Karnataka","Videocon Telecommunications","0"
"2008-12-31","Karnataka","Vodafone Essar","217.14"
"2008-12-31","Kerala","Aircel Limited","0"
"2008-12-31","Kerala","Bharti Airtel Ltd","160.738"
"2008-12-31","Kerala","Etisalat DB Telecom ","0"
"2008-12-31","Kerala","Idea Cellular ","251.363"
"2008-12-31","Kerala","Uninor","0"
"2008-12-31","Kerala","Videocon Telecommunications","0"
"2008-12-31","Kerala","Vodafone Essar","180.538"
"2008-12-31","Kolkata","Aircel Limited","5.519"
"2008-12-31","Kolkata","Bharti Airtel Ltd","164.44"
"2008-12-31","Kolkata","Idea Cellular ","0"
"2008-12-31","Kolkata","Reliable Internet","8.553"
"2008-12-31","Kolkata","Uninor","0"
"2008-12-31","Kolkata","Vodafone Essar","166.85"
"2008-12-31","M.P","Reliance Telecom","65.7725"
"2008-12-31","Madhya Pradesh","Videocon Telecommunications","0"
"2008-12-31","Maharashtra","Aircel Limited","0"
"2008-12-31","Maharashtra","Bharti Airtel Ltd","362.04"
"2008-12-31","Maharashtra","Etisalat DB Telecom ","0"
"2008-12-31","Maharashtra ","Idea Cellular ","442.76"
"2008-12-31","Maharashtra","Uninor","0"
"2008-12-31","Maharashtra","Videocon Telecommunications","0"
"2008-12-31","Maharashtra","Vodafone Essar","265.79"
"2008-12-31","MP","Bharti Airtel Ltd","250.475"
"2008-12-31","MP","Etisalat DB Telecom ","0"
"2008-12-31","MP","Idea Cellular ","242.946"
"2008-12-31","MP","Vodafone Essar","0"
"2008-12-31","Mumbai","Aircel Limited","0"
"2008-12-31","Mumbai","Bharti Airtel Ltd","285.83"
"2008-12-31","Mumbai","Etisalat DB Telecom ","0"
"2008-12-31","Mumbai","Idea Cellular ","19.143"
"2008-12-31","Mumbai ","Loop Mobile","126.6"
"2008-12-31","Mumbai","Uninor","0"
"2008-12-31","Mumbai ","Vodafone Essar","453.92"
"2008-12-31","NE","Dishnet Wireless","50.9917"
"2008-12-31","NE","Idea Cellular ","0"
"2008-12-31","NE","Reliance Telecom","16.6333"
"2008-12-31","North East ","Bharti Airtel Ltd","70.5217"
"2008-12-31","North East","S Tel Pvt. Ltd","0"
"2008-12-31","North East","Vodafone Essar","1.06333"
"2008-12-31","Orissa","Bharti Airtel Ltd","174.3"
"2008-12-31","Orissa","Dishnet Wireless","21.4933"
"2008-12-31","Orissa","Idea Cellular ","0"
"2008-12-31","Orissa","Reliance Telecom","42.2233"
"2008-12-31","Orissa","S Tel Pvt. Ltd","0"
"2008-12-31","Orissa","Uninor","0"
"2008-12-31","Orissa","Videocon Telecommunications","0"
"2008-12-31","Orissa","Vodafone Essar","4.41167"
"2008-12-31","Punjab","Bharti Airtel Ltd","320.075"
"2008-12-31","Punjab","Etisalat DB Telecom ","0"
"2008-12-31","Punjab","Spice Commns.","170.175"
"2008-12-31","Punjab","Vodafone Essar","119.67"
"2008-12-31","Rajasthan","Aircel Limited","0"
"2008-12-31","Rajasthan","Bharti Airtel Ltd","412.288"
"2008-12-31","Rajasthan","Etisalat DB Telecom ","0"
"2008-12-31","Rajasthan","Idea Cellular ","50.8625"
"2008-12-31","Rajasthan","Videocon Telecommunications","0"
"2008-12-31","Rajasthan","Vodafone Essar","215.3"
"2008-12-31","Tamil Nadu","Aircel Limited","278.12"
"2008-12-31","Tamil Nadu","Idea Cellular ","0"
"2008-12-31","Tamil Nadu","Uninor","0"
"2008-12-31","Tamil Nadu ","Vodafone Essar","256.36"
"2008-12-31","Tamilnadu","Videocon Telecommunications","0"
"2008-12-31","TN & Chennai","Bharti Airtel Ltd","561.06"
"2008-12-31","TN& Chennai","Etisalat DB Telecom ","0"
"2008-12-31","U.P(E)","Videocon Telecommunications","0"
"2008-12-31","U.P(W)","Videocon Telecommunications","0"
"2008-12-31","UP (E)","Aircel Limited","0"
"2008-12-31","UP (E)","Bharti Airtel Ltd","320.825"
"2008-12-31","UP (E)","Idea Cellular ","75.935"
"2008-12-31","UP (E)","Uninor","0"
"2008-12-31","UP (East)","Vodafone Essar","354.288"
"2008-12-31","UP (W)","Aircel Limited","0"
"2008-12-31","UP (W)","Uninor","0"
"2008-12-31","UP (W)","Vodafone Essar","210.125"
"2008-12-31","UP(E)","Etisalat DB Telecom ","0"
"2008-12-31","UP(W)","Bharti Airtel Ltd","145.262"
"2008-12-31","UP(W)","Etisalat DB Telecom ","0"
"2008-12-31","UP(West)","Idea Cellular ","223.113"
"2008-12-31","W.B","Videocon Telecommunications","0"
"2008-12-31","WB","Bharti Airtel Ltd","161.625"
"2008-12-31","WB","Dishnet Wireless","19.3875"
"2008-12-31","WB","Idea Cellular ","0"
"2008-12-31","WB","Reliance Telecom","27.7412"
"2008-12-31","WB","Vodafone Essar","210.974"
"2008-12-31","West Bengal","Uninor","0"
"2009-03-31","A.P.","Bharti Airtel Ltd","702.75"
"2009-03-31","AP","Aircel Limited","0"
"2009-03-31","AP","Etisalat DB Telecom ","0"
"2009-03-31","AP","Idea Cellular ","319.85"
"2009-03-31","AP","Uninor","0"
"2009-03-31","AP","Videocon Telecommunications","0"
"2009-03-31","AP","Vodafone Essar","228.309"
"2009-03-31","Assam","Bharti Airtel Ltd","108.408"
"2009-03-31","Assam","Dishnet Wireless","91.1333"
"2009-03-31","Assam","Idea Cellular ","0"
"2009-03-31","Assam","Reliance Telecom","53.0967"
"2009-03-31","Assam","S Tel Pvt. Ltd","0"
"2009-03-31","Assam","Vodafone Essar","4.41333"
"2009-03-31","Bihar","Bharti Airtel Ltd","464.912"
"2009-03-31","Bihar","Dishnet Wireless","29.8533"
"2009-03-31","Bihar","Etisalat DB Telecom ","0"
"2009-03-31","Bihar","Idea Cellular ","28.4467"
"2009-03-31","Bihar","Reliance Telecom","90.1833"
"2009-03-31","Bihar","S Tel Pvt. Ltd","0"
"2009-03-31","Bihar","Uninor","0"
"2009-03-31","Bihar","Videocon Telecommunications","0"
"2009-03-31","Bihar","Vodafone Essar","23.14"
"2009-03-31","Chennai","Aircel Cellular ","113.013"
"2009-03-31","Chennai","Vodafone Essar","105.329"
"2009-03-31","Delhi","Aircel Limited","0"
"2009-03-31","Delhi","Bharti Airtel Ltd","487.27"
"2009-03-31","Delhi","Etisalat DB Telecom ","0"
"2009-03-31","Delhi","Idea Cellular ","157.72"
"2009-03-31","Delhi","Vodafone Essar","349.47"
"2009-03-31","Gujarat","Aircel Limited","0"
"2009-03-31","Gujarat","Bharti Airtel Ltd","218.44"
"2009-03-31","Gujarat","Etisalat DB Telecom ","0"
"2009-03-31","Gujarat","Idea Cellular ","202.04"
"2009-03-31","Gujarat","Uninor","0"
"2009-03-31","Gujarat","Videocon Telecommunications","0"
"2009-03-31","Gujarat","Vodafone Essar","492.45"
"2009-03-31","H.P","Bharti Airtel Ltd","66.7017"
"2009-03-31","Haryana","Bharti Airtel Ltd","82.61"
"2009-03-31","Haryana","Etisalat DB Telecom ","0"
"2009-03-31","Haryana","Idea Cellular ","83.9163"
"2009-03-31","Haryana","Videocon Telecommunications","0"
"2009-03-31","Haryana","Vodafone Essar","107.475"
