"2009-02-01","A"," Gujarat "," Aircel Limited ","0"
"2009-02-01","A"," Gujarat "," Bharti Airtel ","1020390"
"2009-02-01","A"," Gujarat "," IDEA Cellular Ltd. ","1314010"
"2009-02-01","A"," Gujarat "," Vodafone Essar ","3654780"
"2009-02-01","A"," Gujarat ","Telewings ","0"
"2009-02-01","A"," Karnatka "," Bharti Airtel ","2440230"
"2009-02-01","A"," Karnatka "," IDEA Cellular Ltd. ","262794"
"2009-02-01","A"," Karnatka "," Vodafone Essar ","199771"
"2009-02-01","A"," Karnatka ","Telewings ","0"
"2009-02-01","A"," Maharashtra "," Aircel Limited ","0"
"2009-02-01","A"," Maharashtra "," Bharti Airtel ","1219200"
"2009-02-01","A"," Maharashtra "," IDEA Cellular Ltd. ","3287140"
"2009-02-01","A"," Maharashtra "," Vodafone Essar ","2116180"
"2009-02-01","A"," Maharashtra ","Telewings ","0"
"2009-02-01","A"," T.N. "," Aircel Limited ","3097090"
"2009-02-01","A"," T.N. "," Bharti Airtel ","1257960"
"2009-02-01","A"," T.N. "," IDEA Cellular Ltd. ","0"
"2009-02-01","A"," T.N. "," Vodafone Essar ","935953"
"2009-02-01","A"," T.N. ","Telewings ","0"
"2009-02-01","B"," A & N "," Bharti Airtel ","32506"
"2009-02-01","B"," A & N "," Vodafone  Essar ","6834"
"2009-02-01","B"," Chatisgarh "," Bharti Airtel ","314284"
"2009-02-01","B"," Chatisgarh "," IDEA Cellular Ltd. ","162644"
"2009-02-01","B"," Haryana "," Aircel Ltd ","0"
"2009-02-01","B"," Haryana "," Bharti Airtel ","334164"
"2009-02-01","B"," Haryana "," IDEA Cellular Ltd. ","896215"
"2009-02-01","B"," Haryana "," Vodafone Essar ","1193680"
"2009-02-01","B"," Haryana ","Telewings ","0"
"2009-02-01","B"," Kerala "," Aircel Ltd ","0"
"2009-02-01","B"," Kerala "," Bharti Airtel ","260356"
"2009-02-01","B"," Kerala "," IDEA Cellular Ltd. ","2729800"
"2009-02-01","B"," Kerala "," Vodafone Essar ","690384"
"2009-02-01","B"," Kerala ","Telewings ","0"
"2009-02-01","B"," M.P. "," Bharti Airtel ","1340350"
"2009-02-01","B"," M.P. "," IDEA Cellular Ltd. ","1035940"
"2009-02-01","B"," M.P. "," Vodafone Essar ","0"
"2009-02-01","B"," M.P. ","Telewings ","0"
"2009-02-01","B"," Punjab "," Aircel Ltd ","0"
"2009-02-01","B"," Punjab "," Bharti Airtel ","1405700"
"2009-02-01","B"," Punjab "," IDEA Cellular Ltd. ","1125970"
"2009-02-01","B"," Punjab "," Vodafone Essar ","288793"
"2009-02-01","B"," Punjab ","Telewings ","0"
"2009-02-01","B"," Rajasthan "," Aircel Ltd ","0"
"2009-02-01","B"," Rajasthan "," Bharti Airtel ","2954250"
"2009-02-01","B"," Rajasthan "," IDEA Cellular Ltd. ","354998"
"2009-02-01","B"," Rajasthan "," Vodafone Essar ","1590810"
"2009-02-01","B"," Rajasthan ","Telewings ","0"
"2009-02-01","B"," U.P.(E) "," Aircel Ltd ","0"
"2009-02-01","B"," U.P.(E) "," Bharti Airtel ","2909960"
"2009-02-01","B"," U.P.(E) "," IDEA Cellular Ltd. ","557958"
"2009-02-01","B"," U.P.(E) "," Vodafone Essar ","2529520"
"2009-02-01","B"," U.P.(E) ","Telewings ","0"
"2009-02-01","B"," U.P.(W) "," Aircel Ltd ","0"
"2009-02-01","B"," U.P.(W) "," Bharti Airtel ","348744"
"2009-02-01","B"," U.P.(W) "," IDEA Cellular Ltd. ","1339790"
"2009-02-01","B"," U.P.(W) "," Vodafone Essar ","1224040"
"2009-02-01","B"," U.P.(W) ","Telewings ","0"
"2009-02-01","B"," Uttarakhand "," Bharti Airtel ","162689"
"2009-02-01","B"," Uttarakhand "," IDEA Cellular Ltd. ","266182"
"2009-02-01","B"," Uttarakhand "," Vodafone Essar ","257316"
"2009-02-01","B"," W.B. "," Bharti Airtel ","2009110"
"2009-02-01","B"," W.B. "," Dishnet Wireless ","365179"
"2009-02-01","B"," W.B. "," IDEA Cellular Ltd. ","0"
"2009-02-01","B"," W.B. "," Vodafone Essar ","3066680"
"2009-02-01","B"," W.B. ","Telewings ","0"
"2009-02-01","C"," Assam "," Bharti Airtel ","752886"
"2009-02-01","C"," Assam "," Dishnet Wireless ","603642"
"2009-02-01","C"," Assam "," IDEA Cellular Ltd. ","0"
"2009-02-01","C"," Assam "," Vodafone Essar ","0"
"2009-02-01","C"," Assam ","Telewings ","0"
"2009-02-01","C"," Bihar "," Bharti Airtel ","2804810"
"2009-02-01","C"," Bihar "," Dishnet Wireless ","544117"
"2009-02-01","C"," Bihar "," IDEA Cellular Ltd. ","216295"
"2009-02-01","C"," Bihar "," Vodafone Essar ","11988"
"2009-02-01","C"," Bihar ","Telewings ","0"
"2009-02-01","C"," H.P. "," Bharti Airtel ","772093"
"2009-02-01","C"," H.P. "," Dishnet Wireless ","14456"
"2009-02-01","C"," H.P. "," IDEA Cellular Ltd. ","63179"
"2009-02-01","C"," H.P. "," Vodafone Essar ","2975"
"2009-02-01","C"," H.P. ","Telewings ","0"
"2009-02-01","C"," J & K "," Bharti Airtel ","784639"
"2009-02-01","C"," J & K "," Dishnet Wireless ","330666"
"2009-02-01","C"," J & K "," IDEA Cellular Ltd. ","0"
"2009-02-01","C"," J & K "," Vodafone Essar ","0"
"2009-02-01","C"," J & K ","Telewings ","0"
"2009-02-01","C"," Jharkhand "," Bharti Airtel ","857036"
"2009-02-01","C"," Jharkhand "," IDEA Cellular Ltd. ","33266"
"2009-02-01","C"," N.E. "," Bharti Airtel ","260792"
"2009-02-01","C"," N.E. "," Dishnet Wireless ","202839"
"2009-02-01","C"," N.E. "," IDEA Cellular Ltd. ","0"
"2009-02-01","C"," N.E. "," Vodafone Essar ","0"
"2009-02-01","C"," N.E. ","Telewings ","0"
"2009-02-01","C"," Orissa "," Bharti Airtel ","1744480"
"2009-02-01","C"," Orissa "," Dishnet Wireless ","258421"
"2009-02-01","C"," Orissa "," IDEA Cellular Ltd. ","0"
"2009-02-01","C"," Orissa "," Vodafone Essar ","54126"
"2009-02-01","C"," Orissa ","Telewings ","0"
"2009-02-01","Metro"," Chennai "," Aircel Cellular Ltd ","0"
"2009-02-01","Metro"," Chennai "," Bharti Airtel ","0"
"2009-02-01","Metro"," Chennai "," Vodafone Essar ","0"
"2009-02-01","Metro"," Delhi "," Aircel Ltd. ","0"
"2009-02-01","Metro"," Delhi "," Bharti Airtel ","0"
"2009-02-01","Metro"," Delhi "," IDEA Cellular Ltd. ","0"
"2009-02-01","Metro"," Delhi "," MTNL ","0"
"2009-02-01","Metro"," Delhi "," Vodafone Essar ","0"
"2009-02-01","Metro"," Kolkata "," Aircel Ltd. ","0"
"2009-02-01","Metro"," Kolkata "," Bharti Airtel ","0"
"2009-02-01","Metro"," Kolkata "," IDEA Cellular Ltd. ","0"
"2009-02-01","Metro"," Kolkata "," Vodafone Essar  ","1006470"
"2009-02-01","Metro"," Mumbai "," Bharti Airtel ","0"
"2009-02-01","Metro"," Mumbai "," Idea ","0"
"2009-02-01","Metro"," Mumbai "," Loop Mobile ","0"
"2009-02-01","Metro"," Mumbai "," Vodafone Essar ","0"
"2009-02-01","UNK"," Assam "," Reliance Telecom ","504138"
"2009-02-01","UNK"," Bihar "," Reliance Telecom ","743833"
"2009-02-01","UNK"," N.E. "," Reliance Telecom ","88837"
"2009-02-01","UNK"," Orissa "," Reliance Telecom ","627548"
"2009-03-01","A"," A.P. "," Bharti Airtel ","2078280"
"2009-03-01","A"," A.P. "," IDEA Cellular Ltd. ","2658120"
"2009-03-01","A"," A.P. "," Vodafone Essar ","530354"
"2009-03-01","A"," A.P. ","Telewings ","0"
"2009-03-01","A"," Gujarat "," Aircel Limited ","0"
"2009-03-01","A"," Gujarat "," Bharti Airtel ","1066640"
"2009-03-01","A"," Gujarat "," IDEA Cellular Ltd. ","1316700"
"2009-03-01","A"," Gujarat "," Vodafone Essar ","3815970"
"2009-03-01","A"," Gujarat ","Telewings ","0"
"2009-03-01","A"," Karnatka "," Bharti Airtel ","2579530"
"2009-03-01","A"," Karnatka "," IDEA Cellular Ltd. ","290003"
"2009-03-01","A"," Karnatka "," Vodafone Essar ","206384"
"2009-03-01","A"," Karnatka ","Telewings ","0"
"2009-03-01","A"," Maharashtra "," Aircel Limited ","0"
"2009-03-01","A"," Maharashtra "," Bharti Airtel ","1334700"
"2009-03-01","A"," Maharashtra "," IDEA Cellular Ltd. ","3455240"
"2009-03-01","A"," Maharashtra "," Vodafone Essar ","2312220"
"2009-03-01","A"," Maharashtra ","Telewings ","0"
"2009-03-01","A"," T.N. "," Aircel Limited ","3150980"
"2009-03-01","A"," T.N. "," Bharti Airtel ","1330760"
"2009-03-01","A"," T.N. "," IDEA Cellular Ltd. ","0"
"2009-03-01","A"," T.N. "," Vodafone Essar ","987204"
"2009-03-01","A"," T.N. ","Telewings ","0"
"2009-03-01","B"," A & N "," Bharti Airtel ","33978"
"2009-03-01","B"," A & N "," Vodafone  Essar ","7308"
"2009-03-01","B"," Chatisgarh "," Bharti Airtel ","348344"
"2009-03-01","B"," Chatisgarh "," IDEA Cellular Ltd. ","282850"
"2009-03-01","B"," Haryana "," Aircel Ltd ","0"
"2009-03-01","B"," Haryana "," Bharti Airtel ","340938"
"2009-03-01","B"," Haryana "," IDEA Cellular Ltd. ","942477"
"2009-03-01","B"," Haryana "," Vodafone Essar ","1237070"
"2009-03-01","B"," Haryana ","Telewings ","0"
"2009-03-01","B"," Kerala "," Aircel Ltd ","0"
"2009-03-01","B"," Kerala "," Bharti Airtel ","275388"
"2009-03-01","B"," Kerala "," IDEA Cellular Ltd. ","2845720"
"2009-03-01","B"," Kerala "," Vodafone Essar ","844319"
"2009-03-01","B"," Kerala ","Telewings ","0"
"2009-03-01","B"," M.P. "," Bharti Airtel ","1402120"
"2009-03-01","B"," M.P. "," IDEA Cellular Ltd. ","1085860"
"2009-03-01","B"," M.P. "," Vodafone Essar ","0"
"2009-03-01","B"," M.P. ","Telewings ","0"
"2009-03-01","B"," Punjab "," Aircel Ltd ","0"
"2009-03-01","B"," Punjab "," Bharti Airtel ","1433990"
"2009-03-01","B"," Punjab "," IDEA Cellular Ltd. ","1124680"
"2009-03-01","B"," Punjab "," Vodafone Essar ","300516"
"2009-03-01","B"," Punjab ","Telewings ","0"
"2009-03-01","B"," Rajasthan "," Aircel Ltd ","0"
"2009-03-01","B"," Rajasthan "," Bharti Airtel ","3133750"
"2009-03-01","B"," Rajasthan "," IDEA Cellular Ltd. ","379718"
"2009-03-01","B"," Rajasthan "," Vodafone Essar ","1556590"
"2009-03-01","B"," Rajasthan ","Telewings ","0"
"2009-03-01","B"," U.P.(E) "," Aircel Ltd ","0"
"2009-03-01","B"," U.P.(E) "," Bharti Airtel ","3062660"
"2009-03-01","B"," U.P.(E) "," IDEA Cellular Ltd. ","640623"
"2009-03-01","B"," U.P.(E) "," Vodafone Essar ","2641970"
"2009-03-01","B"," U.P.(E) ","Telewings ","0"
"2009-03-01","B"," U.P.(W) "," Aircel Ltd ","0"
"2009-03-01","B"," U.P.(W) "," Bharti Airtel ","407072"
"2009-03-01","B"," U.P.(W) "," IDEA Cellular Ltd. ","1462230"
"2009-03-01","B"," U.P.(W) "," Vodafone Essar ","1301110"
"2009-03-01","B"," U.P.(W) ","Telewings ","0"
"2009-03-01","B"," Uttarakhand "," Bharti Airtel ","169030"
"2009-03-01","B"," Uttarakhand "," IDEA Cellular Ltd. ","287291"
"2009-03-01","B"," Uttarakhand "," Vodafone Essar ","274168"
"2009-03-01","B"," W.B. "," Bharti Airtel ","2096620"
"2009-03-01","B"," W.B. "," Dishnet Wireless ","381703"
"2009-03-01","B"," W.B. "," IDEA Cellular Ltd. ","0"
"2009-03-01","B"," W.B. "," Vodafone Essar ","3253310"
"2009-03-01","B"," W.B. ","Telewings ","0"
"2009-03-01","C"," Assam "," Bharti Airtel ","800080"
"2009-03-01","C"," Assam "," Dishnet Wireless ","630825"
"2009-03-01","C"," Assam "," IDEA Cellular Ltd. ","0"
